package,count,api
org.apache.mahout.common,5,org.apache.mahout:mahout-mr
org.apache.commons.fileupload.servlet,12,commons-fileupload:commons-fileupload
net.sourceforge.pinyin4j.format,4,com.belerweb:pinyin4j
org.springframework.web.servlet,24,org.springframework:spring-webmvc
io.prometheus.client,9,io.prometheus:simpleclient
org.apache.commons.compress.archivers,16,org.apache.commons:commons-compress
okhttp3.logging,7,com.squareup.okhttp3:logging-interceptor
com.almasb.fxgl.entity.component,1,com.github.almasb:fxgl-entity
org.fife.ui.autocomplete,2,com.fifesoft:autocomplete
org.springframework.jdbc.core,18,org.springframework:spring-jdbc
org.w3c.dom,9,com.neuronrobotics:JCSG
org.apache.avro.file,5,org.apache.avro:avro
org.apache.commons.net,16,commons-net:commons-net
org.owasp.encoder,7,org.owasp.encoder:encoder
com.qiniu.util,19,com.qiniu:qiniu-java-sdk
org.eclipse.jdt.annotation,2,org.eclipse.jdt:org.eclipse.jdt.annotation
com.fasterxml.jackson.datatype.jsr310,12,com.fasterxml.jackson.datatype:jackson-datatype-jsr310
com.digitalpebble.behemoth.util,1,com.digitalpebble.behemoth:behemoth-core
org.springframework.stereotype,60,org.apache.activemq:activemq-all
com.cloudrail.si.types,1,com.cloudrail:cloudrail-si-java
org.springframework.data.jpa.repository,5,org.springframework.data:spring-data-jpa
org.dominokit.domino.ui.style,1,org.dominokit:domino-ui
org.redisson.spring.starter,1,org.redisson:redisson-spring-boot-starter
akka.event,2,com.typesafe.akka:akka-actor_2.12
org.eclipse.collections.api.tuple,2,org.eclipse.collections:eclipse-collections-api
org.apache.commons.collections4.multiset,1,org.apache.commons:commons-collections4
cn.dreampie.common.spring,1,cn.dreampie:resty-common
com.squareup.protoparser,1,com.squareup:protoparser
org.springframework.util.concurrent,3,org.springframework:spring-core
org.cornutum.tcases.anon,1,org.cornutum.tcases:tcases-cli
org.sonar.java.ast,2,org.sonarsource.java:java-frontend
org.iban4j,1,org.iban4j:iban4j
org.gwtproject.core.client,1,org.gwtproject.core:gwt-core
net.sf.jsqlparser.statement,11,com.github.jsqlparser:jsqlparser
com.alibaba.fastjson.annotation,28,com.aliyun.openservices:ons-client
org.awaitility.core,39,org.awaitility:awaitility
org.testng.collections,9,org.testng:testng
org.apache.http.nio.conn.ssl,2,org.apache.httpcomponents:httpasyncclient
org.springframework.security.oauth2.provider.endpoint,4,org.springframework.security.oauth:spring-security-oauth2
com.maxmind.geoip2.record,5,com.maxmind.geoip2:geoip2
com.cetsoft.imcache.heap,1,com.cetsoft:imcache-heap
com.cetsoft.imcache.offheap,1,com.cetsoft:imcache-offheap
org.springframework.mock.web,17,org.springframework:spring-test
org.apache.uima.resource,2,org.apache.uima:uimaj-core
com.aliyuncs.exceptions,7,com.aliyun:aliyun-java-sdk-core
org.springframework.web.reactive.function,2,org.springframework:spring-webflux
com.sun.msv.reader,1,net.java.dev.msv:msv-core
gov.nist.core,1,javax.sip:jain-sip-ri
org.dom4j,27,org.dom4j:dom4j
com.nimbusds.oauth2.sdk.http,2,com.nimbusds:oauth2-oidc-sdk
org.yaml.snakeyaml.representer,7,org.yaml:snakeyaml
com.fasterxml.jackson.databind.module,38,com.fasterxml.jackson.core:jackson-databind
io.takari.maven.testing.executor,3,io.takari.maven.plugins:takari-plugin-testing
org.locationtech.jts.io,5,org.locationtech.jts:jts-core
org.apache.sling.servlets.annotations,1,org.apache.sling:org.apache.sling.servlets.annotations
org.sbolstandard.core2,1,org.sbolstandard:libSBOLj
io.grpc.netty,5,io.grpc:grpc-netty-shaded
com.clickhouse.jdbc.parser,1,com.clickhouse:clickhouse-jdbc
org.brickred.socialauth.spring.bean,1,org.brickred:socialauth-spring
org.mozilla.javascript.annotations,2,org.mozilla:rhino
android.content,42,com.squareup:fest-android
com.fasterxml.sort,2,com.fasterxml.util:java-merge-sort
org.apache.commons.csv,31,org.apache.commons:commons-csv
org.springframework.ui,12,org.springframework:spring-context
org.apache.commons.math3.linear,9,org.apache.commons:commons-math3
cn.dreampie.route.config,1,cn.dreampie:resty-route
org.elasticsearch.common,35,org.elasticsearch:elasticsearch
com.almasb.fxgl.input,1,com.github.almasb:fxgl-core
org.apache.commons.text,26,org.jboss.forge.roaster:roaster-jdt
com.almasb.fxgl.procedural,1,com.github.almasb:fxgl-entity
com.google.inject.binder,34,com.google.inject:guice
org.quartz,22,org.quartz-scheduler:quartz
org.iq80.leveldb,8,org.iq80.leveldb:leveldb-api
org.powermock.modules.junit4,33,org.powermock:powermock-module-junit4
com.mongodb.client,21,org.mongodb:mongo-java-driver
com.avaje.ebean.config,2,org.avaje:ebean
org.apache.poi.xssf,25,org.apache.poi:poi-ooxml
io.jsonwebtoken.impl,2,io.jsonwebtoken:jjwt
org.codehaus.stax2,5,org.codehaus.woodstox:stax2-api
org.htmlcleaner,3,net.sourceforge.htmlcleaner:htmlcleaner
org.apache.maven.plugin,85,org.apache.maven:maven-core
org.junit.contrib.java.lang.system,21,com.github.stefanbirkner:system-rules
net.jodah.failsafe.event,1,net.jodah:failsafe
org.springframework.data.jpa.repository.query,2,org.springframework.data:spring-data-jpa
org.apache.uima.util,2,org.apache.uima:uimaj-core
org.jsoup.helper,4,org.jsoup:jsoup
org.springframework.beans.factory,48,org.springframework.android:spring-android-core
org.bouncycastle.crypto.digests,14,org.bouncycastle:bcprov-jdk15to18
io.cucumber.testng,1,io.cucumber:cucumber-testng
io.netty.handler.logging,25,io.netty:netty-handler
org.apache.logging.log4j,40,org.apache.logging.log4j:log4j-api
org.eclipse.paho.client.mqttv3,10,org.eclipse.paho:org.eclipse.paho.client.mqttv3
android.graphics,33,com.squareup:fest-android
org.apache.http.auth,38,org.apache.httpcomponents:httpclient
com.almasb.fxgl.texture,1,com.github.almasb:fxgl-core
io.appium.java_client.service,3,io.appium:java-client
org.apache,171,commons-codec:commons-codec
cz.jirutka.unidecode,2,cz.jirutka.unidecode:unidecode
retrofit2,12,com.squareup.retrofit2:retrofit
org.pushingpixels.trident.ease,1,org.pushingpixels:trident
com.jfinal.config,5,com.jfinal:jfinal
