api1,package1,api2,package2,count,count1,count2,proportion1,proportion2,maxProportion
com.aliyun.openservices:ons-client,com.alibaba.fastjson,junit:junit,org.junit.runners,7,128,321,0.05,0.02,0.05
org.projectlombok:lombok,lombok,org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,6,162,111,0.04,0.05,0.05
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,org.testng:testng,org.testng,4,120,103,0.03,0.04,0.04
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,4,128,111,0.03,0.04,0.04
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,4,128,120,0.03,0.03,0.03
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,4,131,120,0.03,0.03,0.03
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,org.testng:testng,org.testng.annotations,3,120,114,0.03,0.03,0.03
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,4,128,120,0.03,0.03,0.03
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.mockito:mockito-core,org.mockito.stubbing,4,128,350,0.03,0.01,0.03
com.aliyun.openservices:ons-client,com.alibaba.fastjson,junit:junit,org.junit.rules,3,128,266,0.02,0.01,0.02
com.aliyun.openservices:ons-client,com.alibaba.fastjson,junit:junit,junit.framework,2,128,366,0.02,0.01,0.02
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.hamcrest:hamcrest-all,org.hamcrest,2,128,234,0.02,0.01,0.02
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.assertj:assertj-core,org.assertj.core.api,2,128,195,0.02,0.01,0.02
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.testng:testng,org.testng.annotations,1,128,114,0.01,0.01,0.01
