repositoryName,packages
Atmosphere/wasync,"[org.atmosphere.cache,org.atmosphere.nettosphere,org.atmosphere.cpr,org.asynchttpclient.util,org.asynchttpclient.ws,org.asynchttpclient,org.atmosphere.client,io.netty.handler.codec,com.google,org.testng,org.testng.annotations,org.asynchttpclient.netty]"
AwakenCN/Almost-Famous,"[org.apache.http.impl.nio.client,org.quartz.spi,org.apache.http.nio.conn.ssl,org.apache.http.concurrent,io.netty.channel.nio,org.apache.http.conn.ssl,io.grpc.stub,org.apache.http.entity,org.joda.time,org.apache.http.conn.socket,org.apache.http.util,org.apache.http.client.methods,org.apache.http.impl.auth,org.apache.http.impl.client,io.netty.handler.timeout,org.quartz,org.apache.commons.lang.time,org.apache.http.impl.conn,com.alibaba.fastjson.parser,io.netty.handler.codec,io.netty.bootstrap,org.apache.http.client.config,org.apache.http.auth,org.iq80.leveldb.impl,io.netty.channel.socket,org.joda.time.format,io.netty.util.concurrent,io.netty.buffer,org.apache.http.message,org.quartz.utils,org.apache.http.impl.nio.conn,com.alibaba.fastjson,org.apache.http.client,org.apache.http.conn,com.google.protobuf,org.apache.http.config,org.apache.http.client.protocol,io.grpc.protobuf,io.netty.channel,org.joda.time.base,com.alibaba.fastjson.serializer,io.netty.handler.logging,org.apache.http.client.entity,org.apache.http.nio.conn,org.apache.commons.lang.builder,io.grpc.stub.annotations,org.redisson.spring.starter,org.iq80.leveldb,org.apache.http,org.apache.http.conn.routing,org.apache.commons.lang,org.apache.http.protocol,org.apache.http.io,org.apache.http.impl,org.apache.http.ssl,org.apache.commons.collections4]"
AwakenCN/InChat,"[io.netty.util.concurrent,io.netty.buffer,com.alibaba.fastjson,io.netty.channel.nio,io.netty.handler.stream,com.google,io.netty.handler.ssl,io.netty.channel.epoll,io.netty.channel,io.netty.util,org.springframework.stereotype,org.springframework.context,org.junit,io.netty.handler.timeout,io.netty.util.internal,io.netty.handler.codec,io.netty.bootstrap,org.apache.commons.lang3,redis.clients.jedis,io.netty.channel.socket]"
AzureAD/azure-activedirectory-library-for-java,"[org.powermock.api.easymock,org.easymock,com.nimbusds.oauth2.sdk,org.springframework.web.bind,com.google,com.microsoft.aad.adal4j,org.testng,org.testng.annotations,com.nimbusds.oauth2.sdk.id,com.nimbusds.oauth2.sdk.util,com.nimbusds.oauth2.sdk.auth,org.json,org.powermock.modules.testng,org.slf4j,com.nimbusds.oauth2.sdk.http,com.nimbusds.oauth2.sdk.token,com.nimbusds.openid.connect.sdk,org.apache.commons.lang3,org.apache,org.apache.commons.lang3.text]"
Azure/azure-event-hubs-for-kafka,"[akka,org.apache.flink.streaming.connectors.kafka,akka.kafka,org.apache.kafka.common,akka.actor,akka.kafka.javadsl,org.apache.flink.streaming.api.environment,com.microsoft.aad.msal4j,com.microsoft.azure.credentials,org.apache.kafka.common.security,org.apache.flink.streaming.api.datastream,org.apache.kafka.clients.consumer,org.apache.kafka.common.serialization,akka.event,org.apache.kafka.clients.producer]"
BMF-RKSV-Technik/at-registrierkassen-mustercode,"[org.bouncycastle.asn1.x500,org.jose4j.lang,org.jose4j.jwx,org.bouncycastle.operator.jcajce,org.bouncycastle.cert.jcajce,org.apache.pdfbox.pdmodel.common,org.bouncycastle.crypto,com.google.zxing,org.testng,org.testng.annotations,com.google.zxing.qrcode,org.bouncycastle.asn1,org.bouncycastle.operator,org.apache.pdfbox.pdmodel,com.nimbusds.jose,org.apache.commons.math3.util,org.apache.commons.cli,org.apache.pdfbox.pdmodel.font,org.bouncycastle.jce.provider,com.nimbusds.jose.crypto,com.google.zxing.common,org.bouncycastle.asn1.x509,org.bouncycastle.asn1.x9,org.bouncycastle.cert,org.apache,org.jose4j.jws,org.apache.commons.io]"
BNYMellon/CodeKatas,"[org.openjdk.jmh.runner,org.eclipse.collections.api.list,org.eclipse.collections.impl.string,org.eclipse.collections.api.set,org.eclipse.collections.api,org.eclipse.collections.api.tuple,org.apache.commons.collections4.multiset,org.eclipse.collections.impl.factory,io.vavr,org.eclipse.collections.impl.block,org.eclipse.collections.api.multimap,org.eclipse.collections.impl.utility,org.eclipse.collections.impl.collector,org.eclipse.collections.impl.parallel,org.eclipse.collections.api.bag,org.eclipse.collections.impl.test,org.threeten.extra,org.eclipse.collections.api.map,org.apache.commons.collections4.bag,com.google,io.vavr.control,org.eclipse.collections.impl.list,org.eclipse.collections.api.factory,org.eclipse.collections.api.block,org.eclipse.collections.impl.forkjoin,org.openjdk.jmh.annotations,io.vavr.collection,org.eclipse.collections.impl.tuple,org.apache.commons.collections4]"
Baeldung/spring-security-oauth,"[springfox.documentation.swagger2.annotations,org.keycloak.representations,org.springframework.security.oauth2.server.authorization.client,org.springframework.security.oauth2.common,com.nimbusds.jose.proc,org.keycloak.provider,org.springframework.security.oauth2.provider.authentication,org.springframework.security.oauth2.provider,com.nimbusds.jose.jwk,org.keycloak.util,org.keycloak.component,org.springframework.security.jwt,org.springframework.security.jwt.crypto,org.springframework.web.reactive.function,org.apache.commons.io,org.keycloak.storage.user,org.keycloak.credential,org.springframework.security.oauth2.provider.endpoint,org.springframework.security.oauth2.common.exceptions,org.keycloak.storage.adapter,org.springframework.security.oauth2.common.util,org.keycloak.storage,org.keycloak.models.credential,org.keycloak,com.nimbusds.jose,org.keycloak.models,org.springframework.security.oauth2.provider.expression,org.springframework.security.oauth2.provider.token,org.springframework.security.oauth2.config.annotation,org.springframework.security.oauth2.server.authorization.config,org.springframework.security.config.annotation.web.configuration]"
Baeldung/spring-security-registration,"[com.maxmind.geoip2.model,com.maxmind.geoip2.exception,org.passay,com.maxmind.geoip2.record,ua_parser,com.google,org.jboss.aerogear.security.otp.api,org.jboss.aerogear.security.otp,com.maxmind.geoip2]"
BedwarsRel/BedwarsRel,"[com.zaxxer.hikari,lombok,com.bugsnag,com.bugsnag.callbacks]"
BentoBoxWorld/BentoBox,"[org.eclipse.jdt.annotation,com.mongodb,org.postgresql,org.mockito.invocation,org.powermock.api.mockito,org.powermock.modules.junit4,org.bstats.bukkit,org.mockito,org.mockito.stubbing,com.mongodb.client,org.mockito.internal]"
Blackdread/sql-to-jdl,"[org.testcontainers.junit.jupiter,org.testcontainers.containers,com.google,org.testcontainers,org.apache.commons.lang3]"
BowlerHatLLC/vscode-as3mxml,"[org.dom4j.io,org.apache.royale.compiler.constants,org.apache.royale.abc,org.eclipse.lsp4j,org.apache.royale.compiler.problems,org.apache.royale.compiler.driver,org.apache.royale.compiler.internal.driver,org.dom4j,org.apache.royale.compiler.tree,org.apache.royale.compiler.clients,org.junit.jupiter.api,antlr,org.apache.royale.compiler.projects,org.apache.commons.cli,org.apache.royale.compiler.internal,org.apache.royale.compiler.definitions,org.apache.royale.compiler.internal.projects,org.apache.royale.compiler.mxml,com.networknt.schema,org.eclipse.lsp4j.services]"
Bukkit/Bukkit,"[org.yaml.snakeyaml,org.yaml.snakeyaml.representer,org.hamcrest,com.avaje.ebeaninternal.server,com.google,com.avaje.ebean,org.yaml.snakeyaml.constructor,org.junit.rules,org.junit.runner,org.junit,org.yaml.snakeyaml.error,com.avaje.ebeaninternal.api,org.yaml.snakeyaml.external,com.avaje.ebean.config,org.apache.commons.lang.math,org.apache.commons.lang,org.yaml.snakeyaml.nodes,org.junit.runners]"
Byron4j/CookBook,"[lombok,org.yaml.snakeyaml,org.apache.rocketmq.client.consumer,com.alibaba.fastjson,javassist,org.apache.zookeeper,org.mockito,org.apache.rocketmq.client.exception,com.mchange.v2.c3p0.impl,org.mockito.cglib,com.mchange.v2.c3p0,org.apache.maven.plugin.logging,com.spring4all.swagger,org.apache.maven.plugin,org.apache.rocketmq.client.producer,org.mockito.stubbing,lombok.extern,org.apache.rocketmq.client]"
CIDARLAB/cello,"[org.json.simple,org.json.simple.parser,org.codehaus.jackson.node,lombok,org.junit,org.apache.log4j,org.zeroturnaround.zip,com.google,org.sbolstandard.core2,org.codehaus.jackson.map,org.apache.tools.ant,org.json,org.apache.commons.io]"
CategoricalData/CQL,"[org.fife.rsta.ui,edu.uci.ics.jung.visualization.picking,org.apache.commons.exec,org.fife.ui.rsyntaxtextarea.parser,com.github.rjeschke.txtmark,edu.uci.ics.jung.graph,org.fife.ui.rsyntaxtextarea.folding,edu.uci.ics.jung.visualization.control,edu.uci.ics.jung.visualization.renderers,org.fife.ui.autocomplete,org.fife.ui.rtextarea,org.jparsec.error,edu.uci.ics.jung.visualization,com.opencsv.enums,org.fife.ui.rsyntaxtextarea,org.apache.commons.cli,org.apache.commons.csv,org.jparsec.functors,org.apache.commons.lang3.builder,edu.uci.ics.jung.algorithms.layout,org.apache.commons.lang3,org.jparsec,org.apache.commons.lang3.text,com.opencsv,org.fife.rsta.ui.search]"
CeON/CERMINE,"[org.springframework.web.servlet,org.springframework.web.multipart,com.itextpdf.text.exceptions,org.jdom.filter,org.jdom,org.springframework.web.bind,org.apache.commons.collections.iterators,com.google,org.apache.commons.lang.exception,org.springframework.stereotype,org.jdom.output,org.jdom.xpath,org.springframework.http,org.apache.commons.collections,org.springframework.validation,org.apache.commons.lang.builder,org.jdom.input,org.apache.commons.configuration,org.springframework.context.annotation,org.junit,com.itextpdf.text,org.apache.commons.cli,org.custommonkey.xmlunit,org.springframework.ui,org.apache.commons.lang,com.itextpdf.text.pdf,org.apache.commons.io]"
Cetsoft/imcache,"[org.mockito.invocation,com.cetsoft.imcache.redis,org.springframework.beans.factory,org.springframework.cache.support,com.cetsoft.imcache.serialization,com.cetsoft.imcache.cache.util,com.cetsoft.imcache.heap,com.cetsoft.imcache.offheap.bytebuffer,org.mockito,org.springframework.context.support,com.cetsoft.imcache.cache,com.cetsoft.imcache.cache.builder,com.github.benmanes.caffeine.cache,org.springframework.stereotype,org.springframework.context,com.cetsoft.imcache.concurrent,com.cetsoft.imcache.cache.async,com.cetsoft.imcache.cache.populator,com.cetsoft.imcache.redis.client,com.cetsoft.imcache.offheap,org.junit,org.springframework.cache.annotation,com.cetsoft.imcache.cache.search,org.mockito.stubbing,org.springframework.cache]"
ChargeTimeEU/Java-OCA-OCPP,"[org.mockito.invocation,org.mockito.runners,eu.chargetime.ocpp.utilities,org.java_websocket.client,org.java_websocket.exceptions,org.hamcrest,eu.chargetime.ocpp.wss,org.java_websocket.handshake,org.mockito,com.google,org.java_websocket.drafts,org.java_websocket.protocols,eu.chargetime.ocpp,org.slf4j,org.junit.rules,org.junit.runner,org.junit,org.hamcrest.core,eu.chargetime.ocpp.model,eu.chargetime.ocpp.feature,org.java_websocket.server,org.mockito.stubbing,org.java_websocket]"
CheckChe0803/flink-recommandSystem-demo,"[org.apache.flink.streaming.api.functions,org.apache.hadoop.hbase,org.slf4j,org.apache.flink.streaming.connectors.redis,org.apache.flink.streaming.api,org.apache.flink.streaming.connectors.kafka,org.apache.hadoop.hbase.client,org.apache.flink.streaming.connectors.redis.common,org.apache.flink.streaming.api.datastream,org.apache.flink.streaming.api.windowing,redis.clients.jedis,org.apache.flink.streaming.api.environment,org.apache.flink.streaming.util.serialization]"
ChestShop-authors/ChestShop-3,"[org.junit.runner,org.junit,com.j256.ormlite.db,junit.framework,org.bstats.bukkit,com.j256.ormlite.jdbc,org.apache,org.junit.runners,net.kyori.adventure.text.serializer.gson,net.kyori.adventure.platform.bukkit]"
